pkg_name,name,version,line_count,package_count
fkshz,JPLovever/fkshz,0.1.0,19,1
Deque,Jtian-t/Deque,0.1.0,268,1
mbt_LIB,nanlingyin/mbt_LIB,0.1.0,18,1
lib_mbt,202306123/lib_mbt,0.1.0,15,1
minmax,yanyeting/minmax,0.1.0,33,2
digit-insert,littleotherut/digit-insert,0.1.1,55,2
clap,TheWaWaR/clap,0.2.6,1344,1
lunar,TheWaWaR/lunar,0.1.0,1721,3
hello,Lalenture/hello,0.1.0,19,2
dongyx,dongyvxuan/dongyx,0.1.1,33,2
hello,yxsql74/hello,0.1.0,25,2
moos-sdk,furesoft/moos-sdk,0.1.43,958,2
rope,HeChTo/rope,0.1.0,127,1
hello,hachi/hello,0.1.0,25,2
sort,hachi/sort,0.1.12,20,1
fwshz,2459822546/fwshz,0.1.0,11,1
hello,orangenin/hello,0.1.0,25,2
Near-Jungnune,Near-Jungnune/Near-Jungnune,0.1.0,12,1
MATH,Kilig/MATH,0.1.1,39,2
fluorescence,hanbings/fluorescence,0.1.1,181,4
dotenv,ShellWen/dotenv,0.6.1,1379,1
dotenv-mbt,ShellWen/dotenv-mbt,0.9.9,12,0
lru_cache,ShellWen/lru_cache,0.1.0,211,1
sw_ini,ShellWen/sw_ini,0.2.0,1404,1
sw_router,ShellWen/sw_router,0.2.0,589,1
sw_socket,ShellWen/sw_socket,0.2.0,983,6
hello,TianZaiShuiZhong/hello,0.1.0,25,2
mooncake_hello,FreeFoots/mooncake_hello,0.1.0,28,2
sqrt,misika727/sqrt,0.1.0,63,2
Autumn_frame,PingGuoMiaoMiao/Autumn_frame,0.1.0,14303,24
hello,PingGuoMiaoMiao/hello,0.1.0,25,2
LunarKeccak256,PingGuoMiaoMiao/LunarKeccak256,0.1.3,1023,2
mooncove,PingGuoMiaoMiao/mooncove,0.1.0,1413,2
xing0818,xing0818/xing0818,0.1.0,15,1
yhsz,YHSZ-ONEC/yhsz,0.1.0,12,1
djisnj,djisnj/djisnj,0.1.0,16,1
Eunoiay,Eunoiay/Eunoiay,0.1.0,13,1
hello,baobolong/hello,0.1.0,25,2
newcake_ls,NerdyLee/newcake_ls,0.1.1,48,2
QZL-max,QZL-max/QZL-max,0.1.0,12,1
hello,SeisanSoda/hello,0.1.0,26,2
alg,pai2shub/alg,0.1.3,976,38
uuidv4,Nyuudoukumo/uuidv4,0.2.0,141,1
aoko,hzqdf/aoko,0.0.20250321,20,0
sum-calc,hzqdf/sum-calc,0.0.20250321,19,1
SemVer,Seedking/SemVer,0.1.0,608,1
bzip2,MINGtoMING/bzip2,0.0.0,137,1
datetime,MINGtoMING/datetime,0.1.0,531,1
simdstring,MINGtoMING/simdstring,0.2.0,289,3
examine,Penguinsltp/examine,0.1.0,66,2
gif_decoder,Penguinsltp/gif_decoder,0.1.1,1508,3
gamepad,Milky2018/gamepad,0.3.23,5941,1
guardch,Milky2018/guardch,0.1.0,72,1
html,Milky2018/html,0.1.2,89678,3
mgstudio,Milky2018/mgstudio,0.1.2,33591,49
moon_accesskit,Milky2018/moon_accesskit,0.2.1,19019,4
moonchor,Milky2018/moonchor,0.18.0,3803,13
moon_cosmic,Milky2018/moon_cosmic,0.1.1,25532,2
moon_cpal,Milky2018/moon_cpal,0.10.9,17365,18
moon_dagre,Milky2018/moon_dagre,0.1.0,11234,3
moonlight,Milky2018/moonlight,0.1.0,131,5
moonplant,Milky2018/moonplant,0.3.1,858,2
moon_rapier,Milky2018/moon_rapier,0.2.5,102662,12
moon_skrifa,Milky2018/moon_skrifa,0.1.3,46194,3
moon_swash,Milky2018/moon_swash,0.1.2,67270,8
moon_taffy,Milky2018/moon_taffy,0.2.0,57409,2
moon_yazi,Milky2018/moon_yazi,0.1.0,3593,1
moon_zeno,Milky2018/moon_zeno,0.1.0,6338,1
options,Milky2018/options,0.1.2,328,1
pthread,Milky2018/pthread,0.1.0,1854,1
pug,Milky2018/pug,0.1.1,10601,2
selene,Milky2018/selene,0.19.4,6474,17
selene-canvas,Milky2018/selene-canvas,0.19.4,597,1
sqlparser,Milky2018/sqlparser,0.5.0,14669,2
toolkit,Milky2018/toolkit,0.1.4,28,1
wasmoon,Milky2018/wasmoon,0.3.5,202288,34
wgpu_mbt,Milky2018/wgpu_mbt,0.8.0,30618,7
xml,Milky2018/xml,0.2.0,12989,1
bufferutils,ZSeanYves/bufferutils,0.2.5,776,1
MoonbitBSON,ZSeanYves/MoonbitBSON,0.1.0,708,1
MoonIDNA,ZSeanYves/MoonIDNA,0.1.0,12162,1
moonjinja,ZSeanYves/moonjinja,0.1.1,2137,1
SimplexNoise,ZSeanYves/SimplexNoise,0.1.0,3085,1
event-graph-walker,dowdiness/event-graph-walker,0.1.0,10354,7
ffi_c,dowdiness/ffi_c,0.1.1,1632,2
incr,dowdiness/incr,0.3.0,2394,1
js_engine,dowdiness/js_engine,0.1.0,27583,8
cstdio-ffi,Bemly/cstdio-ffi,0.0.0,720,2
mcp,colmugx/mcp,0.5.2,3767,9
reader,colmugx/reader,0.3.0,228,1
Introsort,pzl-love/Introsort,0.1.1,320,2
moonbit_libbpf,hevienz/moonbit_libbpf,0.9.2,544,2
zls,sohaha/zls,0.1.0,25,2
bloom_filter,moransky/bloom_filter,0.1.0,105,2
mariadb,bikallem/mariadb,0.0.1,942,4
reactive,bikallem/reactive,0.2.0,555,1
rsignal,bikallem/rsignal,0.3.0,2549,3
webapi,bikallem/webapi,0.3.0,82215,11
readline.mbt,allwefantasy/readline.mbt,0.1.0,2457,2
binaryPrimitives,AXiX-official/binaryPrimitives,0.1.2,317,1
xxhash,AXiX-official/xxhash,0.1.0,322,1
threejs,FrenchPicnic/threejs,0.0.7,3211,3
which,FrenchPicnic/which,0.1.3,297,1
qrcode,caozhanhao/qrcode,0.1.1,3833,2
raylib,KingBes/raylib,0.0.3,144,1
webui,KingBes/webui,0.0.4,110,1
moon_log,calacaly/moon_log,0.1.11,792,3
FibonacciHeap,SupremeHuaji/FibonacciHeap,0.1.0,1444,1
MaxStack,SupremeHuaji/MaxStack,0.1.0,1691,1
MoonClmech,SupremeHuaji/MoonClmech,0.1.0,5836,1
MoonElec,SupremeHuaji/MoonElec,0.1.0,2180,2
MoonFluid,SupremeHuaji/MoonFluid,0.1.0,2168,2
MoonGeo,SupremeHuaji/MoonGeo,0.1.0,1563,2
MoonMech,SupremeHuaji/MoonMech,0.1.0,3162,2
MoonMet,SupremeHuaji/MoonMet,0.1.0,4967,2
moonsmiles,SupremeHuaji/moonsmiles,0.1.1,2513,2
MoonSteel,SupremeHuaji/MoonSteel,0.1.0,1675,2
MoonStrMech,SupremeHuaji/MoonStrMech,0.1.1,2455,2
ptime,SupremeHuaji/ptime,0.1.0,2010,2
Quadtree,SupremeHuaji/Quadtree,0.1.0,3555,1
VEBTree,SupremeHuaji/VEBTree,0.1.1,1623,1
XorLinkedList,SupremeHuaji/XorLinkedList,0.1.0,1310,1
examine,hbh112233abc/examine,0.1.1,76,2
MoonProgress,CGaaaaaa/MoonProgress,0.1.0,2602,1
reactivex,CGaaaaaa/reactivex,0.1.0,1292,1
signal,CGaaaaaa/signal,0.1.2,1249,1
biginteger,amor2025/biginteger,0.1.0,1210,2
convert,amor2025/convert,0.3.2,1342,2
fraction,amor2025/fraction,0.2.0,629,2
pad,amor2025/pad,0.1.3,191,1
sudoku,trash33/sudoku,0.1.0,427,2
net,fangyinc/net,0.1.1-rc1,1900,7
socket,fangyinc/socket,0.1.2-rc2,1640,4
biblatex,edragain2nd/biblatex,0.1.1,10315,3
compose,edragain2nd/compose,0.1.0,1233,1
unscanny,edragain2nd/unscanny,0.1.2,916,1
pk-rng-gen3,yatsuna827/pk-rng-gen3,0.1.0,6337,11
pk-rng-lcg32,yatsuna827/pk-rng-lcg32,0.1.1,270,2
circuit_breaker,ryota0624/circuit_breaker,0.1.3,995,2
moonbit_cloudevents,ryota0624/moonbit_cloudevents,0.1.2,510,2
moonbit_otel,ryota0624/moonbit_otel,0.0.8,11153,14
moonbit_test_containers,ryota0624/moonbit_test_containers,0.0.4,2530,2
mustache,ryota0624/mustache,0.0.6,1454,2
opentelemetry_proto_mbt,ryota0624/opentelemetry_proto_mbt,0.0.2,6573,11
html-parser,cou723/html-parser,0.1.0,794,4
btree,HCHogan/btree,0.2.1,1129,1
MoonCoc,Asterless/MoonCoc,0.1.0,1074,3
MoonPtime,Asterless/MoonPtime,0.1.2,908,1
MoonQOI,Asterless/MoonQOI,0.1.3,782,1
bloom,chaijie2018/bloom,0.1.3,1360,2
bloom-filter,chaijie2018/bloom-filter,0.1.4,1360,2
icc,enanandesu/icc,0.1.1,823,1
special-mathematical-functions,enanandesu/special-mathematical-functions,0.1.2,502,1
box2d_ffi,Demonmasterlqx/box2d_ffi,0.2.7,2101,2
moonbit_stickman_map_loader,Demonmasterlqx/moonbit_stickman_map_loader,0.0.9,952,3
MoonP5,Demonmasterlqx/MoonP5,0.0.8,3563,4
examine,leopeng1995/examine,0.1.0,66,2
bytebuf,iceBear67/bytebuf,0.4.1,1163,1
classfile,iceBear67/classfile,0.2.0,4699,4
mnbt,iceBear67/mnbt,0.3.3,1979,3
time,iceBear67/time,0.1.2,3634,2
gs,ZijianFeng33/gs,0.1.0,242,2
range,ZijianFeng33/range,0.1.0,159,2
regexp,ZijianFeng33/regexp,0.1.0,117,2
strongPasswordChecker,ZijianFeng33/strongPasswordChecker,0.1.0,381,2
moon_rsa,Rutubet/moon_rsa,0.2.0,708,2
firefly,applejag/firefly,0.2.0,2372,4
micromath,applejag/micromath,0.2.0,655,1
LunarTUI,FrozenLemonTee/LunarTUI,0.0.1,3792,6
files_tree,xingwangzhe/files_tree,0.1.3,628,1
license_checker,xingwangzhe/license_checker,0.2.4,840,1
style_print,xingwangzhe/style_print,0.1.7,651,1
dom_api,fgeygfe/dom_api,0.1.0,354,1
ssmp,nodex/ssmp,0.1.1,109,1
reactive,himeno/reactive,0.1.2,569,1
ttf_parser_moonbit,Ronlands/ttf_parser_moonbit,0.1.1,1918,8
unicode_xid,KeqingMoe/unicode_xid,0.0.1,2391,2
hello,wangweigang/hello,0.1.0,276,3
quickxorhash,baka-gourd/quickxorhash,0.1.0,575,2
firefly,firefly/firefly,0.5.1,4729,14
ds,meguruli/ds,0.1.0,6475,1
casefold,moonbit-community/casefold,0.1.4,2072,1
cmark,moonbit-community/cmark,0.4.3,30339,7
debug,moonbit-community/debug,0.1.3,5992,5
debug_deriving,moonbit-community/debug_deriving,0.1.1,637,1
find_cluster_break,moonbit-community/find_cluster_break,0.1.2,647,2
fuzzy_match,moonbit-community/fuzzy_match,0.2.5,571,1
ini,moonbit-community/ini,0.2.2,1794,1
jade-ui,moonbit-community/jade-ui,0.1.0,9182,4
js-ffi,moonbit-community/js-ffi,0.4.2,1304,1
jsondiff,moonbit-community/jsondiff,0.1.0,1334,1
moongrep,moonbit-community/moongrep,0.1.2,638,2
moongrep-skill,moonbit-community/moongrep-skill,0.1.0,1095,1
piediff,moonbit-community/piediff,0.0.8,2344,5
rabbita,moonbit-community/rabbita,0.11.3,15565,13
yaml,moonbit-community/yaml,0.0.3,5863,1
csv_parser,maria/csv_parser,0.1.0,929,2
ini_parser,maria/ini_parser,0.1.0,923,2
json_parser,maria/json_parser,0.1.1,1254,2
sensor_driver,maria/sensor_driver,0.1.0,1376,2
toml_parser,maria/toml_parser,0.1.0,1018,2
miao,kalculos/miao,0.1.0-M2,11498,12
moon_expr,sombozone/moon_expr,0.1.0,4004,7
brainfuck,nuskey8/brainfuck,0.1.2,180,2
lisp,nuskey8/lisp,0.1.4,389,2
oneshot,nuskey8/oneshot,0.1.0,136,2
test_moon,cgx027/test_moon,0.1.0,76,2
x,jaredzhou/x,0.1.0,2700,2
examine,emadurandal/examine,0.1.0,119,2
aletheia,f4ah6o/aletheia,0.6.0,19440,30
direct_sdk,f4ah6o/direct_sdk,0.10.1,12448,22
duckdb,f4ah6o/duckdb,0.6.0,17953,2
encoding_sjis,f4ah6o/encoding_sjis,0.1.0,7469,2
encoding_sjis_mbt,f4ah6o/encoding_sjis_mbt,0.1.0,7469,2
htmx,f4ah6o/htmx,0.2.0,5970,4
http11,f4ah6o/http11,0.1.1,14915,4
jww_parser,f4ah6o/jww_parser,0.202601.9,2485,3
mhx,f4ah6o/mhx,0.1.1,3923,7
mhx-spec,f4ah6o/mhx-spec,0.1.1,2288,6
moonchat,f4ah6o/moonchat,0.2.0,1764,5
simple-webauthn,f4ah6o/simple-webauthn,0.1.0,5885,7
sse,f4ah6o/sse,0.1.0,768,1
tmpx,f4ah6o/tmpx,0.4.0,1879,2
uuidm,f4ah6o/uuidm,0.2.0,3810,1
moon-release,dijdzv/moon-release,0.2.4,15522,11
websys,dijdzv/websys,0.1.6,180855,1
peeler,elzup/peeler,0.1.1,1096,1
ibmoonc,emptist/ibmoonc,0.1.0,4970,2
ibmoonjs,emptist/ibmoonjs,0.2.7,4865,1
ibmoonwa,emptist/ibmoonwa,0.1.0,5019,2
encoding_sjis,horideicom/encoding_sjis,0.1.1,7475,2
jww_parser,horideicom/jww_parser,0.202602.0,2497,3
example,liuxinbo1984/example,0.1.8,94,2
srt,angela/srt,0.1.0,236,3
vcf,angela/vcf,0.0.5,343,2
immutable,sennenki/immutable,0.1.3,4570,10
js,sennenki/js,0.1.2,1546,1
lens,sennenki/lens,0.1.1,749,1
process,sennenki/process,0.1.0,708,1
sexp,sennenki/sexp,0.1.0,1792,1
tsparser,sennenki/tsparser,0.1.2,13828,1
shadow,zen314/shadow,0.1.0,529,2
httprouter,paveg/httprouter,0.2.0,1937,2
ulid,paveg/ulid,0.1.0,962,1
channel,bnyu2/channel,0.1.1,967,2
mongodb,allain/mongodb,0.1.1,9540,3
sha256,shu-kitamura/sha256,0.1.1,263,1
hello,tekihei2317/hello,0.0.3,55,2
mknip,nysopua/mknip,0.1.0,1466,2
moonbitap,fuwasegu/moonbitap,0.1.0,333,1
gherkin,moonrockz/gherkin,0.3.0,11821,9
turn,naokikawamoto16/turn,0.1.0,799,1
romaji_typing,typinglabs/romaji_typing,0.0.2,1849,3
